modelname,stage,brick_remain,catch_count,state,run_sec
DCT_RE_depth=10_rmse=17.79,4,18,3,FAIL,2.53
DCT_RE_depth=10_rmse=17.79,4,22,0,FAIL,1.51
DCT_RE_depth=10_rmse=17.79,5,0,24,FINISH,23.93
DCT_RE_depth=10_rmse=17.79,4,29,4,FAIL,2.56
DCT_RE_depth=10_rmse=17.79,4,28,4,FAIL,2.51
DCT_RE_depth=10_rmse=17.79,5,16,11,FAIL,10.39
DCT_RE_depth=10_rmse=17.79,4,25,0,FAIL,1.48
DCT_RE_depth=10_rmse=17.79,5,1,16,FAIL,14.1
DCT_RE_depth=10_rmse=17.79,5,41,1,FAIL,1.61
DCT_RE_depth=10_rmse=17.79,5,40,2,FAIL,0.66
DCT_RE_depth=10_rmse=17.79,5,31,7,FAIL,5.16
DCT_RE_depth=10_rmse=17.79,5,38,4,FAIL,3.96
DCT_RE_depth=10_rmse=17.79,5,16,11,FAIL,10.39
RandomForest_RE_rmse=11.90,2,3,9,FAIL,8.26
RandomForest_RE_rmse=11.90,2,10,1,FAIL,1.55
RandomForest_RE_rmse=11.90,2,13,1,FAIL,1.54
RandomForest_RE_rmse=11.90,2,8,4,FAIL,4.4
RandomForest_RE_rmse=11.90,2,12,4,FAIL,2.95
RandomForest_RE_rmse=11.90,3,24,1,FAIL,1.6
RandomForest_RE_rmse=11.90,3,22,0,FAIL,1.3
RandomForest_RE_rmse=11.90,3,9,12,FAIL,10.68
RandomForest_RE_rmse=11.90,3,27,1,FAIL,0.63
RandomForest_RE_rmse=11.90,4,19,7,FAIL,7.38
RandomForest_RE_rmse=11.90,3,17,0,FAIL,1.4
RandomForest_RE_rmse=11.90,2,1,27,FAIL,30.61
RandomForest_RE_rmse=11.90,3,21,2,FAIL,2.83
RandomForest_RE_rmse=11.90,2,15,1,FAIL,0.65
RandomForest_RE_rmse=11.90,4,3,13,FAIL,12.37
RandomForest_RE_rmse=11.90,5,42,1,FAIL,0.46
RandomForest_RE_rmse=11.90,2,16,0,FAIL,0.64
RandomForest_RE_rmse=11.90,2,11,2,FAIL,2.12
RandomForest_RE_rmse=11.90,4,12,10,FAIL,9.19
RandomForest_RE_rmse=11.90,5,26,10,FAIL,9.75
RandomForest_RE_rmse=11.90,5,17,4,FAIL,4.58
RandomForest_RE_rmse=11.90,4,14,12,FAIL,10.09
RandomForest_RE_rmse=11.90,3,2,28,FAIL,30.88
RandomForest_RE_rmse=11.90,4,16,7,FAIL,6.58
RandomForest_RE_rmse=11.90,5,25,11,FAIL,11.01
RandomForest_RE_rmse=11.90,5,42,1,FAIL,0.66
RandomForest_RE_rmse=11.90,2,3,26,FAIL,30.31
RandomForest_RE_rmse=11.90,3,11,11,FAIL,10.35
